coverage,threshold,precision,cost_per_case,manual_cost,saving
0.012,0.96,1.0,12.462526662399998,11.2556948,-1.2068318623999978
0.0241,0.93,1.0,12.30994754032,11.2556948,-1.054252740319999
0.0361,0.9,1.0,12.158629402719999,11.2556948,-0.9029346027199985
0.0482,0.9,1.0,12.00605028064,11.2556948,-0.7503554806399997
0.0602,0.88,0.8,12.093856977706666,11.2556948,-0.8381621777066659
0.0723,0.88,0.6667,12.180752042937998,11.2556948,-0.9250572429379975
0.0843,0.88,0.7143,12.029174125201997,11.2556948,-0.7734793252019969
0.0964,0.87,0.75,11.876902647946665,11.2556948,-0.6212078479466641
0.1084,0.87,0.7778,11.725315991429332,11.2556948,-0.4696211914293311
0.1205,0.87,0.8,11.573005388266665,11.2556948,-0.3173105882666647
0.1325,0.87,0.8182,11.421458850699999,11.2556948,-0.16576405069999822
0.1446,0.85,0.75,11.50843157192,11.2556948,-0.25273677191999866
0.1566,0.85,0.7692,11.356979969295999,11.2556948,-0.1012851692959984
0.1687,0.85,0.7857,11.204582176928666,11.2556948,0.051112623071334795
0.1807,0.85,0.7333,11.292394435037998,11.2556948,-0.03669963503799778
0.1928,0.85,0.75,11.139960495893332,11.2556948,0.11573430410666852
0.2048,0.85,0.7647,10.988432627541332,11.2556948,0.26726217245866835
0.2169,0.78,0.7222,11.075482408924,11.2556948,0.18021239107600096
0.2289,0.78,0.6842,11.163126246884,11.2556948,0.09256855311600098
0.241,0.78,0.7,11.010812863199998,11.2556948,0.24488193680000236
0.253,0.75,0.7143,10.859139216086666,11.2556948,0.3965555839133348
0.2651,0.75,0.7273,10.706772009454,11.2556948,0.5489227905460012
0.2771,0.75,0.6957,10.794355470379331,11.2556948,0.46133932962066915
0.2892,0.75,0.7083,10.642533245927998,11.2556948,0.6131615540720023
0.3012,0.75,0.72,10.490745597439998,11.2556948,0.7649492025600022
0.3133,0.75,0.7308,10.338253068738666,11.2556948,0.9174417312613343
0.3253,0.75,0.7407,10.187132149544667,11.2556948,1.068562650455334
0.3373,0.72,0.75,10.035311730626667,11.2556948,1.2203830693733337
0.3494,0.72,0.7586,9.883133003618665,11.2556948,1.3725617963813352
0.3614,0.72,0.7667,9.731208315150665,11.2556948,1.5244864848493354
0.3735,0.72,0.7742,9.57905977666,11.2556948,1.6766350233400011
0.3855,0.72,0.7812,9.42796209468,11.2556948,1.8277327053200008
0.3976,0.72,0.7576,9.514325881727999,11.2556948,1.741368918272002
0.4096,0.72,0.7647,9.363020455082665,11.2556948,1.892674344917335
0.4217,0.72,0.7714,9.210873108244,11.2556948,2.0448216917560007
0.4337,0.72,0.75,9.298369578573332,11.2556948,1.957325221426668
0.4458,0.72,0.7568,9.145662552512,11.2556948,2.1100322474880002
0.4578,0.72,0.7368,9.234152463392,11.2556948,2.0215423366080003
0.4699,0.72,0.7436,9.081362816125331,11.2556948,2.1743319838746693
0.4819,0.7,0.725,9.169172293713332,11.2556948,2.086522506286668
0.494,0.7,0.7073,9.256339651426666,11.2556948,1.9993551485733345
0.506,0.68,0.7143,9.104433632173333,11.2556948,2.151261167826668
0.5181,0.68,0.7209,8.952599491202,11.2556948,2.3030953087980013
0.5301,0.68,0.7273,8.800418597554,11.2556948,2.455276202446001
0.5422,0.65,0.7333,8.648762409947999,11.2556948,2.606932390052002
0.5542,0.65,0.7174,8.736016577704,11.2556948,2.519678222296001
0.5663,0.65,0.7021,8.823433189294,11.2556948,2.432261610706
0.5783,0.62,0.6875,8.910802550076665,11.2556948,2.344892249923335
0.5904,0.62,0.6735,8.997484309599999,11.2556948,2.2582104904000015
0.6024,0.62,0.68,8.846213838079997,11.2556948,2.4094809619200035
0.6145,0.62,0.6667,8.93285587587,11.2556948,2.32283892413
0.6265,0.62,0.6538,9.02148580586,11.2556948,2.234208994140001
0.6386,0.62,0.6604,8.868395465072,11.2556948,2.3872993349280005
0.6506,0.62,0.6667,8.716609008236,11.2556948,2.539085791764
0.6627,0.62,0.6727,8.565156593122,11.2556948,2.690538206878001
0.6747,0.62,0.6786,8.412783247676,11.2556948,2.8429115523240007
0.6867,0.62,0.6842,8.261689140651999,11.2556948,2.9940056593480016
0.6988,0.6,0.6724,8.348771493855999,11.2556948,2.9069233061440016
0.7108,0.55,0.678,8.196474612746666,11.2556948,3.0592201872533344
0.7229,0.55,0.6833,8.045183070652666,11.2556948,3.210511729347335
0.7349,0.55,0.6885,7.893446265983332,11.2556948,3.3622485340166683
0.747,0.35,0.6935,7.741545392499999,11.2556948,3.5141494075000015
