run,n,accuracy,accuracy_decided,coverage,macro_f1,f1_ACCURACY,f1_PERM,f1_INVEST,abstain_on_ambiguous,abstain_on_clear,abstention_precision,cache
1,83,0.5180722891566265,0.6935483870967742,0.7469879518072289,0.5488523960434073,0.651685393258427,0.5333333333333333,0.4615384615384615,0.3125,0.23880597014925373,0.23809523809523808,08_llm_responses.jsonl
2,83,0.5421686746987951,0.6923076923076923,0.7831325301204819,0.5709396914446003,0.6521739130434783,0.5806451612903225,0.4800000000000001,0.1875,0.22388059701492538,0.16666666666666666,11_run2.jsonl
3,83,0.4939759036144578,0.6721311475409836,0.7349397590361446,0.5252933832709115,0.6292134831460675,0.4666666666666667,0.4800000000000001,0.3125,0.2537313432835821,0.22727272727272727,11_run3.jsonl
