parameter,low_input,high_input,breakeven_at_low,breakeven_at_high,swing
rework_minutes,10.0,45.0,0.10644308237639843,0.5727651294169775,0.4663220470405791
route_minutes,3.0,12.0,0.5698377647165448,0.16074685562563573,0.40909090909090906
manual_error_rate,0.133,0.531,0.5944741283529085,0.19647412835290834,0.39800000000000013
inference_cost,0.001,0.04,0.43332307754277244,0.43528673807453844,0.0019636605317659983
wage_hourly,30.0,50.0,0.43353246753246755,0.4334285714285715,0.00010389610389605064
loading_factor,1.25,1.6,0.43349829648253013,0.4334489532178858,4.934326464434147e-05
review_minutes,4.0,14.0,0.43347412835290833,0.43347412835290833,0.0
